id,model_name,path,repetition,backbone,downstream,cap,iou,f1
23eb8f7bd7ace34ea796b255e81f92e9,V10_sup_seam_ai_N_cap_100%,../saves/models/V10/V10_sup_seam_ai_N_cap_100%,V10,sup,seam_ai_N,1.0,0.7003122568130493,0.880419909954071
29762ccced4d8c54894ba84ba72dbe20,V10_pre_seg_train_f3_cap_1%,../saves/models/V10/V10_pre_seg_train_f3_cap_1%,V10,seg,f3,0.01,0.4350953698158264,0.8001896142959595
a0a85390416f4e7d1ee08e6a8d62fdb4,V10_pre_seg_train_f3_cap_10%,../saves/models/V10/V10_pre_seg_train_f3_cap_10%,V10,seg,f3,0.1,0.6860349178314209,0.8980636596679688
25a98a4dc29b8ab01a39f5384760a5fd,V10_pre_seg_train_f3_cap_50%,../saves/models/V10/V10_pre_seg_train_f3_cap_50%,V10,seg,f3,0.5,0.7073027491569519,0.9105730652809143
566d3d5b023745231304dd397681bb17,V10_pre_seg_train_f3_cap_100%,../saves/models/V10/V10_pre_seg_train_f3_cap_100%,V10,seg,f3,1.0,0.6871277093887329,0.8940249085426331
f1d547a131e6672788ea63f5c20068e9,V10_pre_seg_train_f3_N_cap_1%,../saves/models/V10/V10_pre_seg_train_f3_N_cap_1%,V10,seg,f3_N,0.01,0.45693325996398926,0.8131456971168518
5a1e6514d4df746b106a64a60da28dbf,V10_pre_seg_train_f3_N_cap_10%,../saves/models/V10/V10_pre_seg_train_f3_N_cap_10%,V10,seg,f3_N,0.1,0.6984028816223145,0.9127002954483032
594ecd053f2850ef35787138252b0313,V10_pre_seg_train_f3_N_cap_50%,../saves/models/V10/V10_pre_seg_train_f3_N_cap_50%,V10,seg,f3_N,0.5,0.7049173712730408,0.9081823229789734
a184aae82746f97249347e4332b03558,V10_pre_seg_train_f3_N_cap_100%,../saves/models/V10/V10_pre_seg_train_f3_N_cap_100%,V10,seg,f3_N,1.0,0.7001891732215881,0.9004995226860046
864997ab44f7330e45402d084e4fd42f,V10_pre_seg_train_seam_ai_cap_1%,../saves/models/V10/V10_pre_seg_train_seam_ai_cap_1%,V10,seg,seam_ai,0.01,0.4128528833389282,0.7517573833465576
ebda0f49370b74a46fc9290b4f3d85b7,V10_pre_seg_train_seam_ai_cap_10%,../saves/models/V10/V10_pre_seg_train_seam_ai_cap_10%,V10,seg,seam_ai,0.1,0.693013608455658,0.8683528900146484
fa6e62962dcf8018f0a8c8e719912632,V10_pre_seg_train_seam_ai_cap_50%,../saves/models/V10/V10_pre_seg_train_seam_ai_cap_50%,V10,seg,seam_ai,0.5,0.658788800239563,0.8629134297370911
211a7841b050cafff3ea3631654fad50,V10_pre_seg_train_seam_ai_cap_100%,../saves/models/V10/V10_pre_seg_train_seam_ai_cap_100%,V10,seg,seam_ai,1.0,0.6671497821807861,0.8645705580711365
fc2276ea41708fddaf2ecdb4bf215bf1,V10_pre_seg_train_seam_ai_N_cap_1%,../saves/models/V10/V10_pre_seg_train_seam_ai_N_cap_1%,V10,seg,seam_ai_N,0.01,0.38513535261154175,0.7638390064239502
66e182e311a30ecab3fde27d46134617,V10_pre_seg_train_seam_ai_N_cap_10%,../saves/models/V10/V10_pre_seg_train_seam_ai_N_cap_10%,V10,seg,seam_ai_N,0.1,0.6451658606529236,0.8286496996879578
104ff795022f7be730ec4d544c46a2b4,V10_pre_seg_train_seam_ai_N_cap_50%,../saves/models/V10/V10_pre_seg_train_seam_ai_N_cap_50%,V10,seg,seam_ai_N,0.5,0.6794559955596924,0.8664377331733704
738d77b6fc20d0b58040f6a8be743274,V10_pre_seg_train_seam_ai_N_cap_100%,../saves/models/V10/V10_pre_seg_train_seam_ai_N_cap_100%,V10,seg,seam_ai_N,1.0,0.636570394039154,0.8610120415687561
